proverbs578,proverbs578_modified_criteria_0_2,proverbs578_modified_criteria_1_2
"A bad penny always turns up
","a bad penny always turns up
","a bad penny always turns up
"
"A barking dog never bites
","a thick_fog fog never bites
","a thick_fog fog never bites
"
"A bird in the hand is worth two in the bush
","a stands in the stand is worth two in the bush
","a bands in the band is worth two in the bush
"
"A cat may look at a king
","a clings may look at a cling
","a summer may look at a spring
"
"A chain is only as strong as its weakest link
","a sinks is only as strong as its weakest sink
","a bblinking is only as strong as its weakest blink
"
"A change is as good as a rest
","a pursuit is as good as a quest
","a behind_bars is as good as a arrest
"
"A dog is a man's best friend
","a fans is a fan's best friend
","a bans is a ban's best friend
"
"A drowning man will clutch at a straw
","a drowning withdrawing will clutch at a withdraw
","a drowning proverbial_jaw will clutch at a jaw
"
"A fish always rots from the head down
","a fish always rots from the widespread down
","a fish always rots from the bread down
"
"A fool and his money are soon parted
","a funds and his funny are soon parted
","a funds and his honey are soon parted
"
"A friend in need is a friend indeed
","a expect in concede is a expect indeed
","a bleeded in bleed is a bleeded indeed
"
"A golden key can open any door
","a golden downstairs can open any floor
","a golden cores can open any core
"
"A good beginning makes a good ending
","a good winning makes a good ending
","a good beginning makes a good ending
"
"A good man is hard to find
","a good ban is hard to find
","a good ban is hard to find
"
"A house divided against itself cannot stand
","a spouse divided against itself cannot stand
","a mouse divided against itself cannot stand
"
"A person is known by the company he keeps
","a temporarily is known by the permanently he keeps
","a abilityto is known by the ability he keeps
"
"A house is not a home
","a mouse is not a  
","a domes is not a dome
"
"A journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
","a journey of a thousand miles begins with a single step
"
"A leopard cannot change its spots
","a   cannot change its  
","a   cannot change its  
"
"A little knowledge is a dangerous thing
","a little clinging is a dangerous cling
","a little summer is a dangerous spring
"
"A little learning is a dangerous thing
","a little wingers is a dangerous wing
","a little summer is a dangerous spring
"
"A little of what you fancy does you good
","a little of what you fancy does you wood
","a little of what you fancy does you good
"
"A man is known by his friends
","a scan is known by his  
","a ban is known by his  
"
"A man who is his own lawyer has a fool for his client
","a van who is his own   has a fool for his client
","a ban who is his own   has a fool for his client
"
"A miss is as good as a mile
","a kilometer is as good as a while
","a biles is as good as a bile
"
"A new broom sweeps clean
","a new costume   clean
","a new assume   clean
"
"A nod's as good as a wink to a blind horse
","a sinks's as good as a sink to a blind horse
","a don't_blink's as good as a blink to a blind horse
"
"A penny saved is a penny earned
","a   saved is a   earned
","a   saved is a   earned
"
"A picture paints a thousand words
","a picture paints a thousand words
","a picture paints a thousand words
"
"A place for everything and everything in its place
","a progeny for offspring and offspring in its progeny
","a base for   and   in its base
"
"A poor workman always blames his tools
","a poor   always blames his  
","a poor   always blames his  
"
"A person is known by the company he keeps
","a temporarily is known by the permanently he keeps
","a abilityto is known by the ability he keeps
"
"A problem shared is a problem halved
","a problem shared is a problem halved
","a problem shared is a problem halved
"
"A prophet is not recognized in his own land
","a expanding is not recognized in his own expand
","a bands is not recognized in his own band
"
"A rising tide lifts all boats
","a rising aside lifts all  
","a rising alongside lifts all  
"
"A rolling stone gathers no moss
","a rolling lone   no moss
","a rolling bone   no moss
"
"A soft answer turneth away wrath
","a soft baths turneth away bath
","a soft baths turneth away bath
"
"A stitch in time saves nine
","a climbing in climb saves nine
","a climbing in climb saves nine
"
"A swarm in May is worth a load of hay; a swarm in June is worth a silver spoon; but a swarm in July is not worth a fly
","a codes in may is worth a code of hay; a codes in june is worth a silver spoon; but a codes in july is not worth a fly
","a codes in may is worth a code of hay; a codes in june is worth a silver spoon; but a codes in july is not worth a fly
"
"A thing of beauty is a joy forever
","a Beauty of duty is a joy forever
","a Beauty of duty is a joy forever
"
"A trouble shared is a trouble halved
","a bubbles shared is a bubbles halved
","a   shared is a   halved
"
"A volunteer is worth twenty pressed men
","a once is worth twenty pressed again
","a beer is worth twenty pressed  
"
"A watched pot never boils
","a watched yacht never  
","a watched dot never  
"
"A woman is only a woman, but a good cigar is a smoke
","a   is only a  , but a good cigar is a smoke
","a   is only a  , but a good cigar is a smoke
"
"A woman's place is in the home
","a palce's lace is in the home
","a bases's base is in the home
"
"A woman's work is never done
","a clerking's clerk is never done
","a clerking's clerk is never done
"
"A word to the wise is enough
","a formulate to the devise is enough
","a advised to the advise is enough
"
"Absence makes the heart grow fonder
","charts makes the chart grow fonder
","carts makes the cart grow fonder
"
"Absolute power corrupts absolutely
","absolute tower   absolutely
","absolute flour   absolutely
"
"Accidents will happen (in the best-regulated families).
","  will happen (in the best-regulated  ).
","  will happen (in the best-regulated  ).
"
"Actions speak louder than words
","  speak louder than  
","  speak louder than  
"
"Adversity makes strange bedfellows
","morality makes strange  
","ability makes strange  
"
"After a storm comes a calm
","after a bombs comes a bomb
","after a bombs comes a bomb
"
"All good things come to he who waits
","all good things come to he who waits
","all good things come to he who waits
"
"All good things must come to an end
","all good extamend must come to an amend
","all good defending must come to an defend
"
"All is grist that comes to the mill
","all is grist that comes to the ill
","all is grist that comes to the bill
"
"All publicity is good publicity
","all unobtrusiveness is good unobtrusiveness
","all electricty is good electricty
"
"All roads lead to Rome
","all roads lead to rome
","all roads lead to rome
"
"All that glisters is not gold
","all that glisters is not gold
","all that glisters is not gold
"
"All that glitters is not gold
","all that glitters is not gold
","all that glitters is not gold
"
"All the world loves a lover
","all the paramour loves a hover
","all the paramour loves a cover
"
"All things come to those who wait
","all things come to those who wait
","all things come to those who wait
"
